"participant","Group","timepoint","n_correct_bio","n_correct_dots","n_errors_bio","n_errors_dots","dprime_bio","dprime_dots","meta_d_bio","meta_d_dots","M_ratio_bio","M_ratio_dots"
1246,"LowType2",2,27,94,11,26,1.05152231621236,1.63731822417188,0.585667772261624,0.553747050583889,0.556971319801592,0.338203681122503
1247,"NoFB",1,34,91,4,29,NA,1.37997779091548,NA,0.989268618904815,NA,0.716872855068584
1247,"NoFB",2,29,94,9,26,1.35398166114037,1.55127037910921,0.66537060352266,0.00614805302066448,0.491417736752995,0.00396323755256314
1248,"LowType2",1,25,96,13,24,0.79596333658868,1.64982566536589,1.20795083022178,1.49700564994262,1.51759606843048,0.907372022007315
1248,"LowType2",2,29,94,9,26,1.35317515240295,1.53829311083379,7.10227026513867e-10,1.22335785510123,5.24859642340207e-10,0.795269670315396
1249,"LowType2",1,14,92,24,28,NA,1.42583242147643,NA,1.29522192669391,NA,0.908397022809116
1249,"LowType2",2,19,93,19,27,NA,1.47520564893404,NA,0.921252812810517,NA,0.624491109748801
1250,"NoFB",1,21,92,17,28,NA,1.42664579295431,NA,1.36176146248566,NA,0.954519663683104
1250,"NoFB",2,26,93,12,27,0.916399490006854,1.48670596808404,0.0110839069586083,1.03630104230783,0.0120950601560521,0.697045054338044
1251,"LowType1",1,25,93,13,27,0.786878552315271,1.49242223076055,8.92855909404039e-07,1.01571809545526,1.13468070361931e-06,0.680583600619274
1251,"LowType1",2,22,95,16,25,NA,1.57948127436386,NA,0.867213788267531,NA,0.549049743319563
1252,"LowType1",1,20,89,18,31,NA,1.43665554022695,NA,0.420024285043417,NA,0.292362555450881
1252,"LowType1",2,21,89,17,31,NA,1.56509055292028,NA,0.254911890357447,NA,0.162873572958325
1253,"NoFB",1,25,95,13,25,0.786878552315271,1.62777108029815,0.910119706992675,1.0534908928116,1.15662029968257,0.647198433221115
1253,"NoFB",2,26,98,12,22,0.921029299503223,1.77990252270638,2.4341078320495,1.39478039922895,2.64281259386904,0.783627407363949
1254,"NoFB",1,26,97,12,23,0.916399490006854,1.71018136464638,0.410513273518095,1.22328060280838,0.447963227822208,0.715292908750251
1256,"LowType2",1,27,93,11,27,1.05152231621236,1.5125997289799,0.766295906291506,1.83547795670243,0.728749066450389,1.21345913366009
1256,"LowType2",2,35,96,3,24,NA,1.82256569010635,NA,0.853328151733632,NA,0.468201588763497
1257,"LowType2",1,23,92,15,28,NA,1.43600479686602,NA,1.51637990818717,NA,1.05597133902099
1257,"LowType2",2,23,95,15,25,NA,1.6168842792168,NA,1.41414510681816,NA,0.874611204398102
1260,"LowType1",1,24,91,14,29,NA,1.38942470241695,NA,0.490217072494828,NA,0.352820179202285
1260,"LowType1",2,22,95,16,25,NA,1.59792894073183,NA,0.482077924133,NA,0.30168921273321
